SubwayStation,TimeToSubway,TimeToBusStop,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Park),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_SchoolNearBy(Elementary),HallwayType,Floor,YearBuilt,N_FacilitiesInApt,HeatingType,AptManageType,Size(sqf),SalePrice
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,17,1993,4,individual_heating,management_in_trust,644,79646
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,2,1993,4,individual_heating,management_in_trust,914,115044
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,4,2006,5,individual_heating,management_in_trust,1412,281415
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,39,2007,10,individual_heating,management_in_trust,1643,486725
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,18,2007,10,individual_heating,management_in_trust,1387,338053
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,18,2007,10,individual_heating,management_in_trust,1519,484955
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,8,2008,8,individual_heating,management_in_trust,1167,264424
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,11,1986,4,central_heating,management_in_trust,1313,152212
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,18,2007,5,individual_heating,management_in_trust,1273,295460
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,33,2007,10,individual_heating,management_in_trust,1643,448672
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,5,2007,5,individual_heating,management_in_trust,1690,455752
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,2,1986,4,central_heating,management_in_trust,1131,292035
Myung-duk,0~5min,0~5min,1,0,0,5,7,5,1174,4,terraced,13,2014,9,individual_heating,management_in_trust,910,367256
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,19,2013,7,individual_heating,management_in_trust,644,150778
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,4,1986,4,central_heating,management_in_trust,1377,184070
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,5,2013,7,individual_heating,management_in_trust,907,287610
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,15,2013,7,individual_heating,management_in_trust,426,103663
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,8,1992,3,individual_heating,management_in_trust,576,130088
Sin-nam,0~5min,5min~10min,1,1,1,0,3,2,475,2,terraced,19,2008,8,individual_heating,management_in_trust,829,207964
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,21,2005,7,individual_heating,management_in_trust,743,128318
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,30,2013,7,individual_heating,management_in_trust,910,380530
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,20,2005,7,individual_heating,management_in_trust,914,300000
Myung-duk,15min~20min,5min~10min,1,1,0,1,5,4,79,3,mixed,8,1992,3,individual_heating,self_management,644,118584
Banwoldang,0~5min,0~5min,1,2,1,0,4,1,605,2,terraced,15,2007,5,individual_heating,management_in_trust,1483,380530
Myung-duk,15min~20min,0~5min,2,0,0,5,6,5,536,4,mixed,21,1993,4,individual_heating,management_in_trust,644,84070
Kyungbuk-uni-hospital,0~5min,0~5min,1,2,2,0,3,2,1270,3,terraced,23,2007,10,individual_heating,management_in_trust,1387,460176
Myung-duk,10min~15min,5min~10min,1,1,1,5,7,5,0,4,corridor,2,1992,3,individual_heating,management_in_trust,576,61504
Bangoge,5min~10min,0~5min,2,0,0,5,5,4,798,3,mixed,6,2005,7,individual_heating,management_in_trust,572,202654
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,4,2007,4,individual_heating,management_in_trust,914,194690
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,28,2013,7,individual_heating,management_in_trust,907,353982
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,14,2007,4,individual_heating,management_in_trust,1366,238938
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,5,1986,4,central_heating,management_in_trust,1796,371681
Banwoldang,0~5min,0~5min,2,2,1,0,2,2,524,2,terraced,6,2007,4,individual_heating,management_in_trust,1394,221238
Kyungbuk-uni-hospital,10min~15min,0~5min,1,1,1,1,5,1,0,3,terraced,1,1986,4,central_heating,management_in_trust,1377,163716
Myung-duk,0~5min,5min~10min,1,1,0,2,3,1,181,4,terraced,15,2006,4,individual_heating,management_in_trust,903,171681
Kyungbuk-uni-hospital,0~5min,0~5min,1,1,1,0,5,3,930,4,terraced,11,2013,7,individual_heating,management_in_trust,644,149274
no-subway-nearby,no_bus_stop_nearby,0~5min,1,0,1,2,2,1,203,2,terraced,12,2009,5,individual_heating,management_in_trust,910,141592
Chil-sung-market,15min~20min,5min~10min,1,2,1,1,7,3,56,4,mixed,14,1997,5,individual_heating,management_in_trust,644,88495
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,10,2006,5,individual_heating,management_in_trust,1149,358407
Sin-nam,0~5min,0~5min,1,0,0,0,1,2,536,2,terraced,4,2006,5,individual_heating,management_in_trust,1437,247787
